,SEG
1362,-45317680
1363,5713542952
1364,186943520
1365,147244552
1366,42663800
1367,4500664
1368,1203736
1369,42862432
1370,1069656
1371,-191459004
1372,-188160828
1373,-3802656
1374,12701280
1375,190992764
1376,147287716
1377,-39182404
1378,-56557376
1379,-4665808
1380,39036536
1381,56532852
1382,3451312
1383,1840080
1384,1841536
1385,-291106888
1386,37474840
1387,-40974920
1388,-40973344
1389,-329772000
1390,-40949040
1391,-564395072
1392,-79768
1393,568717832
1394,38997728
1395,604827088
1396,40391416
1397,38760240
1398,1966768
1399,2249376
1400,2368168
1401,-2190440
1402,-571656
1403,2190808
1404,-190858456
1405,-189063272
1406,-187513440
1407,-192061133
1408,148093904
1409,988264
1410,147115712
1411,189895125
1412,42789352
1413,187550248
1414,40408128
1415,-5716131992
1416,391449496
1417,-5713793808
1418,-5713757312
1419,-6544
1420,-6107588032
1421,5526256904
1422,5526256904
1423,5526256904
1424,5677161080
1425,151097440
1426,147107232
1427,147149952
1428,-6883024
1429,-151070976
1430,-148188720
1431,43685672
1432,42216104
1433,187168504
1434,188276456
1435,-3640656
1436,-34805248
1437,-572837004
1438,-39928544
1439,-39928524
1440,-29498648
1441,427848556
1442,-99023856
1443,-99023876
1444,-487205936
1445,23010296
1446,5053008
1447,3461446
1448,376997140
1449,-439101208
1450,-427179968
1451,-39977334
1452,2116
1453,385611072
1454,385611100
1455,28
1456,28
1457,65769920
1458,65769892
1459,65769892
1460,-275836716
1461,-12225216
1462,-12225216
1463,-451400384
1464,-109793776
1465,-439175168
1466,-85334464
1467,353840704
1468,353840704
1469,353840704
1470,0
1471,-480
1472,-480
1473,-480
1474,-480
1475,508
1476,508
1477,383728
1478,383728
1479,-380912652
1480,-380912652
1481,-381295872
1482,-381295872
1483,0
1484,0
1485,0
1486,0
1487,0
1488,369576864
1489,369576864
1490,369576864
1491,369576864
1492,28
1493,28
1494,-299666224
1495,-299666224
1496,-299666252
1497,-299666224
1498,28
1499,28
1500,28
1501,414913428
1502,414913428
1503,-34246668
1504,-34246668
1505,-449160096
1506,-449160096
1507,0
1508,28
1509,28
1510,431689488
1511,376859360
1512,64524532
1513,64524532
1514,55051488
1515,109881616
1516,-72551088
1517,-72551060
1518,-141114288
1519,-457424704
1520,8130960
1521,8130932
1522,-345522228
1523,32780448
1524,61992316
1525,-24205552
1526,28438208
1527,-79457440
1528,391678504
1529,442661136
1530,390017348
1531,435984624
1532,-82244548
1533,68352
1534,68380
1535,-43392
1536,1941568
1537,-41618580
1538,-41614540
1539,-41566628
1540,45166832
1541,-11873484
1542,-31626928
1543,-28463820
1544,-70089040
1545,-18708448
1546,3163164
1547,28
1548,8336
1549,-262624
1550,-2384832
1551,-3181372
1552,-2855820
1553,-423632
1554,-423632
1555,3180592
1556,72273772
1557,-11842640
1558,-11705724
1559,-2159600
1560,-71586612
1561,12465152
1562,12367968
1563,14188
1564,9380
1565,75602352
1566,-20864
1567,-25452
1568,116416
1569,-81099056
1570,2515904
1571,2520492
1572,2290000
1573,8036000
1574,-12352
1575,-314963324
1576,102725824
1577,102627952
1578,-314950776
1579,415132048
1580,-110689248
1581,-110689220
1582,314811320
1583,-168478560
1584,7836640
1585,7836612
1586,-68352
1587,68089676
1588,28
1589,28
1590,28
1591,0
1592,0
1593,0
1594,0
1595,0
1596,0
1597,0
1598,0
1599,0
1600,0
1601,0
1602,0
1603,0
1604,0
1605,0
1606,0
1607,0
1608,0
1609,0
1610,0
1611,0
1612,0
1613,0
1614,0
1615,0
1616,0
1617,0
1618,0
1619,0
1620,0
1621,0
1622,0
1623,0
1624,0
1625,0
1626,0
1627,0
1628,0
1629,0
1630,0
1631,0
1632,0
1633,0
1634,0
1635,0
1636,0
1637,0
1638,0
1639,0
1640,0
1641,0
1642,0
1643,0
1644,0
1645,0
1646,0
1647,0
1648,0
1649,0
1650,0
1651,0
1652,0
1653,0
1654,0
1655,0
1656,0
1657,0
1658,0
1659,0
1660,0
1661,0
1662,0
1663,0
1664,0
1665,0
1666,0
1667,0
1668,0
1669,0
1670,0
1671,0
1672,0
1673,0
1674,0
1675,0
1676,0
1677,0
1678,0
1679,0
1680,0
1681,0
1682,0
1683,0
1684,0
1685,0
1686,0
1687,0
1688,0
1689,0
1690,0
1691,0
1692,0
1693,0
1694,0
1695,0
1696,0
1697,0
1698,0
1699,0
1700,0
1701,0
1702,0
1703,0
1704,0
1705,0
1706,0
1707,0
1708,0
1709,0
1710,0
1711,0
1712,0
1713,0
1714,0
1715,0
1716,0
1717,0
1718,0
1719,0
1720,0
1721,0
1722,0
1723,0
1724,0
1725,0
1726,0
1727,0
1728,0
1729,0
1730,0
1731,0
1732,0
1733,0
1734,0
1735,0
1736,0
1737,0
1738,0
1739,0
1740,0
1741,0
1742,0
1743,0
1744,0
1745,0
1746,0
1747,0
1748,0
1749,0
1750,0
1751,0
1752,0
1753,0
1754,0
1755,0
1756,0
1757,0
1758,0
1759,0
